Reference_Text,Ground_Truth,Predicted_Summary
"SUBJECT: ClinicalTrials.gov - Question - general information
MESSAGE: I have tarlov cyst disease but most 11 are in thoracic of spine I had one at S2 drained in 09  I have noticed there are several names for the cyst and not much on location of mine. Have become painful any time I must use arms in motion many does don't have clue if I show up at er.  I have Fibromyalgia and Cfs but indecision to not take pain meds has limited my function when cyst become symptomatic I hear non operable Dr geranium is Dr but rarely get help on pain or referrel",What are tarlov cysts of the spine and how are they treated?,"What are the different names for Tarlov cyst disease, specifically in the thoracic spine, and what are the best treatment options for managing the pain associated with it, especially for individuals with Fibromyalgia and Chronic Fatigue Syndrome who may be hesitant to take pain medication?"
"SUBJECT: Vasospastic angina
MESSAGE: Can arteries in any part of the body spasm or is this only possible with coronary arteries? If so, does someone with vasospastic angina have a greater chance of developing spasms elsewhere in the body and is the treatment the same?",What are the causes of and treatment for artery spasms?,Can arteries in any part of the body spasm or is this only possible with coronary arteries?
"Hi Team,
I am writing mail because of my father (age 60) have experienced a loss of
speaking volume (loss speaking sound) for the last couple of months. We
consult two Doctors and they said to speak with low voice.
Please let me advice what can we do to resolve the problem.
Regards,
[NAME]",What are the treatments for loss of voice?,"What can we do to resolve my father's (age 60) loss of speaking volume (loss of speaking sound) for the last couple of months, which was advised by two Doctors to speak with low voice?"
"SUBJECT: ClinicalTrials.gov - Question - specific study
MESSAGE: Dental/sjogrens. Because of Sjogrens, my teeth have decayed
Severely in the past 2 years.I have a few teeth that have not decayed. It is devastating!  What should I do...implants or dentures? What about funds?  Help.    [NAME]",What teeth replacements are better for sjogren's: implants or dentures?,What should I do...implants or dentures?
"SUBJECT: Please help me
MESSAGE: I have been dealing with undiagnosed issues. It started 3 years ago as nausea and dull achy pain. Doctors decided to remove my gallbladder, even though it only had scarring. Since the surgery ([DATE]) I have had a sharp, stabbing random pain in that area and around it. I also get dull, crampy pain. Finally, the surgeon ordered a CT scan because the pain is so bad. His nurse called and said everything was fine. So I went to my primary, who noticed that I have ascites on my liver. My side is slightly bloated, was not before. And I am scared because I don't know what I'm supposed to do. No one will help me and I do not want to be on pain meds my whole life.  Please let me know your thoughts or guide me in the direction I need, please.  I live in south carolina, i dont know why when I made my email it had the co.uk",What are the treatments for ascites?,"I have been experiencing undiagnosed issues, including nausea, dull achy pain, sharp stabbing pain, and dull crampy pain, after having my gallbladder removed. My primary care physician noticed ascites on my liver and I am afraid of being on pain meds my whole life. Can you please help me?"
"SUBJECT: tick bites
MESSAGE: my husband was diagnosed with Rocky Mountain Spotted fever about 6 1/2 years ago.  Then about 1 1/2 years ago he was diagnosed with Lyme Disease.  With him having had both what damage if any to his body could possibly happen.  He has had alot of medical problems since.  Now has been diagnosed with type II diabetes.",What is the prognosis for Rocky Mountain Spotted fever and lyme disease?,"What damage to his body could possibly happen after being diagnosed with Rocky Mountain Spotted Fever and Lyme Disease, and how could it lead to Type II diabetes?"
"Hi, I'm looking to purchase Epidermal Growth Factor to use topically in skin care creams.  Do you sell it and if so how can I learn about this?  If you don't can you give any suggestions of who might?  Any information you can provide would be greatly appreciated.  THNAK YOU!  [NAME]",Where can I buy  Epidermal Growth Factor cream?,"Do you sell Epidermal Growth Factor and if so, how can I learn about this?"
"Diphtheria.
 Is there a definitive history of diphtheria in the United States available in print? I have read quite a few articles in the NLM from the 19th century, and I'd like to find an overview of this disease, particularly a history of epidemics in the U.S. Any help you can provide would be greatly appreciated. Thank you - [NAME] M.D.",Where can I find a definitive book on diptheria in the United States?,Is there a definitive history of diphtheria in the United States available in print?
"SUBJECT: my left hand has not been moving like it should
MESSAGE: I have had three neck surgeries, and now my left hand no longer works.  My arm itself seems to be having more pain;the pain will go up into my neck and my upper back. I do not know what to do or where to go.  I am a 61 year old woman, Please let me know what to do.",What are the treatments for arm and neck pain?,Has your left hand not been moving like it should since your neck surgeries?
Hello - I suspect my son has Cushing's Syndrome. His recent U-Creatinine Excretion 24 hr urine test showed 21.6H nnol/d. The lab range for normal is 7.0-17.0. I suspect this may be the result of muscle waste. Can you please tell me what this measure means in terms of the scale of the result - what does this difference represent and what can be expected as a result. Also how can we determine whether it is muscle waste that is the issue? Please help,How do I interpret the high results of a creatinine 24 hour urine test and how is muscle waste diagnosed?,I suspect my son has Cushing's Syndrome. His recent U-Creatinine Excretion 24hr urine test showed 21.6H nnol/d.
"SUBJECT: adenoma carcinom pancreatic
MESSAGE: Patient 65 year,without any other disorder has now diagnose solid adenocarcinom with 4 hepar metastases.IS possible treatment wit oncolytic virus with Gemcitabine? Who and where make it?",What are the treatments for pancreatic adenocarcinoma?,What is the possibility of treating solid adenocarcinoma with metastases using oncolytic virus and Gemcitabine?
"MESSAGE: good day. At the age of 50 ive started swelling for about a week now. Its my whole body, especially legs and feet. Im using antistax but not sure if its helping. please advise its so frustrating, i cant get into any clothes.",What are the causes of and treatments for legand body swelling?,"At the age of 50, I have started experiencing swelling in my body, especially in my legs and feet, for about a week now. I have been using Antistax but I'm not sure if it's helping. Please advise as it's very frustrating and I can't get into any clothes."
